country,Machiavellianism,Narcissism,Psychopathy
PT,3.3333333333333335,3.111111111111111,2.2222222222222223
FR,4.0,2.6666666666666665,2.6666666666666665
RO,4.888888888888889,4.555555555555555,3.111111111111111
US,3.0,1.7777777777777777,1.7777777777777777
NL,2.888888888888889,2.4444444444444446,2.0
US,4.555555555555555,3.0,3.7777777777777777
US,4.0,2.7777777777777777,2.888888888888889
US,4.0,3.888888888888889,4.444444444444445
US,2.3333333333333335,2.3333333333333335,1.6666666666666667
US,3.888888888888889,2.111111111111111,3.0
US,2.3333333333333335,2.3333333333333335,1.7777777777777777
US,4.444444444444445,1.8888888888888888,4.555555555555555
GB,4.666666666666667,3.3333333333333335,3.6666666666666665
US,1.8888888888888888,3.111111111111111,1.1111111111111112
US,4.444444444444445,3.3333333333333335,3.2222222222222223
GB,2.2222222222222223,2.888888888888889,2.0
GB,3.2222222222222223,3.888888888888889,2.888888888888889
US,2.111111111111111,1.5555555555555556,2.2222222222222223
GB,3.0,2.6666666666666665,2.6666666666666665
GB,2.5555555555555554,3.0,2.111111111111111
GB,2.6666666666666665,2.5555555555555554,2.6666666666666665
GB,4.888888888888889,3.888888888888889,4.333333333333333
NO,2.6666666666666665,2.0,2.5555555555555554
US,3.4444444444444446,2.888888888888889,3.0
GB,4.0,3.3333333333333335,3.4444444444444446
SG,4.777777777777778,2.111111111111111,2.888888888888889
IE,3.7777777777777777,4.555555555555555,3.888888888888889
IE,4.0,2.5555555555555554,3.5555555555555554
US,4.333333333333333,2.7777777777777777,3.5555555555555554
TT,3.5555555555555554,2.2222222222222223,2.111111111111111
GB,4.222222222222222,3.111111111111111,3.4444444444444446
GB,3.0,2.5555555555555554,2.111111111111111
CA,4.888888888888889,4.0,4.333333333333333
US,3.0,2.888888888888889,1.7777777777777777
BA,3.5555555555555554,2.7777777777777777,2.6666666666666665
IT,1.5555555555555556,1.7777777777777777,1.1111111111111112
DK,3.3333333333333335,2.7777777777777777,2.888888888888889
PL,4.555555555555555,2.3333333333333335,3.5555555555555554
HU,3.0,2.4444444444444446,1.8888888888888888
GR,4.444444444444445,4.666666666666667,4.0
US,3.3333333333333335,2.4444444444444446,3.5555555555555554
US,3.0,2.5555555555555554,2.4444444444444446
US,3.5555555555555554,3.3333333333333335,3.4444444444444446
NO,4.888888888888889,4.555555555555555,4.111111111111111
GB,1.6666666666666667,1.3333333333333333,1.7777777777777777
CA,4.444444444444445,3.3333333333333335,3.0
GB,3.3333333333333335,2.5555555555555554,2.2222222222222223
GB,4.555555555555555,4.0,2.5555555555555554
GB,4.555555555555555,3.888888888888889,3.111111111111111
AU,2.4444444444444446,2.7777777777777777,1.8888888888888888
US,4.777777777777778,4.0,2.3333333333333335
GB,3.5555555555555554,3.0,3.2222222222222223
US,4.0,3.0,2.5555555555555554
US,4.111111111111111,2.0,2.111111111111111
GB,4.0,2.111111111111111,2.2222222222222223
US,3.888888888888889,3.5555555555555554,3.3333333333333335
US,2.5555555555555554,1.8888888888888888,1.3333333333333333
BG,4.888888888888889,4.555555555555555,3.6666666666666665
DK,2.888888888888889,2.111111111111111,2.111111111111111
PT,4.555555555555555,4.555555555555555,4.222222222222222
GB,3.7777777777777777,3.0,3.111111111111111
GB,4.444444444444445,4.0,3.6666666666666665
US,4.333333333333333,3.6666666666666665,2.111111111111111
US,4.333333333333333,4.333333333333333,3.4444444444444446
GB,3.5555555555555554,3.3333333333333335,4.888888888888889
GB,5.0,5.0,4.888888888888889
US,3.0,2.6666666666666665,2.5555555555555554
US,4.222222222222222,3.7777777777777777,3.4444444444444446
BR,4.666666666666667,3.0,2.7777777777777777
US,3.888888888888889,3.888888888888889,2.0
GB,4.444444444444445,3.7777777777777777,3.2222222222222223
US,2.0,1.4444444444444444,1.6666666666666667
GB,4.666666666666667,4.555555555555555,4.333333333333333
US,2.888888888888889,2.888888888888889,1.6666666666666667
GB,5.0,4.555555555555555,3.7777777777777777
CA,3.4444444444444446,2.3333333333333335,2.3333333333333335
US,4.444444444444445,4.888888888888889,4.0
AU,1.8888888888888888,2.4444444444444446,1.4444444444444444
US,2.888888888888889,2.6666666666666665,1.1111111111111112
US,4.777777777777778,3.5555555555555554,3.4444444444444446
US,3.6666666666666665,2.6666666666666665,2.7777777777777777
GB,3.3333333333333335,3.5555555555555554,3.888888888888889
US,3.5555555555555554,3.7777777777777777,2.6666666666666665
BE,4.125,3.0,2.7777777777777777
US,2.5555555555555554,2.6666666666666665,2.5555555555555554
US,3.6666666666666665,2.3333333333333335,2.7777777777777777
CA,4.555555555555555,2.5555555555555554,4.777777777777778
ID,3.6666666666666665,3.111111111111111,3.0
US,2.2222222222222223,1.3333333333333333,1.1111111111111112
